variable,modulo,rol_provisional,n_unicos,pct_nan,uso_provisional,motivo_uso
SEDRSSLEP,SEDATIVES,Predictor candidato,8,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
SEDRSEMOT,SEDATIVES,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
SEDRSDGFX,SEDATIVES,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
SEDRSHOOK,SEDATIVES,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
SEDRSSOR,SEDATIVES,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
SEDRSOTRS2,SEDATIVES,Predictor candidato,9,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
SEDRSMAIN,SEDATIVES,Predictor candidato,10,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
SEDNORXFG,SEDATIVES,Predictor candidato,2,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
SVBZONMYR,SEDATIVES,Predictor candidato,2,0.463,Predictor candidato,Pendiente de revisión conceptual y estadística
IRCIGRC,RECENCY OF DRUG USE,Predictor candidato,5,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
IICIGRC,RECENCY OF DRUG USE,Predictor candidato,3,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
II2CIGRC,RECENCY OF DRUG USE,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
IRCGRRC,RECENCY OF DRUG USE,Predictor candidato,5,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
IICGRRC,RECENCY OF DRUG USE,Predictor candidato,2,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
II2CGRRC,RECENCY OF DRUG USE,Predictor candidato,8,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
IRPIPLF,RECENCY OF DRUG USE,Predictor candidato,2,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
IIPIPLF,RECENCY OF DRUG USE,Predictor candidato,2,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
IRPIPMN,RECENCY OF DRUG USE,Predictor candidato,3,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
IIPIPMN,RECENCY OF DRUG USE,Predictor candidato,3,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
IRNICVAPREC,RECENCY OF DRUG USE,Predictor candidato,5,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
IINICVAPREC,RECENCY OF DRUG USE,Predictor candidato,8,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
IRSMKLSSREC,RECENCY OF DRUG USE,Predictor candidato,5,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
IISMKLSSREC,RECENCY OF DRUG USE,Predictor candidato,9,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
IRALCRC,RECENCY OF DRUG USE,Predictor candidato,4,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
IIALCRC,RECENCY OF DRUG USE,Predictor candidato,3,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
II2ALCRC,RECENCY OF DRUG USE,Predictor candidato,5,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
IRCBDHMPREC,RECENCY OF DRUG USE,Predictor candidato,5,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
IICBDHMPREC,RECENCY OF DRUG USE,Predictor candidato,3,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
IRMJRC,RECENCY OF DRUG USE,Predictor candidato,4,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
IIMJRC,RECENCY OF DRUG USE,Predictor candidato,3,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
II2MJRC,RECENCY OF DRUG USE,Predictor candidato,5,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
IRMJEVERVAPE,RECENCY OF DRUG USE,Predictor candidato,3,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
IIMJEVERVAPE,RECENCY OF DRUG USE,Predictor candidato,4,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
IRMJYRSMOKE,RECENCY OF DRUG USE,Predictor candidato,3,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
