variable,etiqueta_codebook,modulo,tipo_version,pct_valores_informativos,rol_final_eda
HLCALL99,YES TO MEDICARE/MEDICAID/CHAMPUS/PRVHLTIN,RECODED HEALTH INSURANCE,Recodificada,0.038,Predictor principal
ANYHLTI2,COVERED BY ANY HEALTH INSURANCE - RECODE,RECODED HEALTH INSURANCE,Recodificada,95.664,Predictor principal
IRINSUR4,RC-OVERALL HEALTH INSURANCE - IMPUTATION REVISED,RECODED HEALTH INSURANCE,Recodificada,100.0,Predictor principal
IIINSUR4,RC-OVERALL HEALTH INSURANCE - IMPUTATION INDICATOR,RECODED HEALTH INSURANCE,Recodificada,100.0,Excluir de variables de entrada
OTHINS,"RC-HEALTH INSURANCE OTHER THAN PRIVATE, MEDICAID/CHIP",RECODED HEALTH INSURANCE,Recodificada,19.764,Predictor principal
CELLWRKNG,WORKING CELL PHONE,INCOME,Original u otra,95.943,Predictor principal
CELLNOTCL,NOT A CELL PHONE,INCOME,Original u otra,95.975,Predictor principal
IRFAMSOC,FAM RECEIVE SS OR RR PAYMENTS - IMPUTATION REVISED,IMPUTED INCOME,Imputada,100.0,Predictor principal
IIFAMSOC,FAM RECEIVE SS OR RR PAYMENTS - IMPUTATION INDICATOR,IMPUTED INCOME,Imputada,100.0,Excluir de variables de entrada
IRFAMSSI,FAM RECEIVE SSI - IMPUTATION REVISED,IMPUTED INCOME,Imputada,100.0,Predictor principal
IIFAMSSI,FAM RECEIVE SSI - IMPUTATION INDICATOR,IMPUTED INCOME,Imputada,100.0,Excluir de variables de entrada
IRFSTAMP,RESP/OTH FAM MEM REC FOOD STAMPS - IMPUTATION REVISED,IMPUTED INCOME,Imputada,100.0,Predictor principal
IIFSTAMP,RESP/OTH FAM MEM REC FOOD STAMPS - IMPUTATION INDICATOR,IMPUTED INCOME,Imputada,100.0,Excluir de variables de entrada
IRFAMPMT,FAM RECEIVE PUBLIC ASSIST - IMPUTATION REVISED,IMPUTED INCOME,Imputada,100.0,Predictor principal
IIFAMPMT,FAM RECEIVE PUBLIC ASSIST - IMPUTATION INDICATOR,IMPUTED INCOME,Imputada,100.0,Excluir de variables de entrada
IRFAMSVC,FAM REC WELFARE/JOB PL/CHILDCARE - IMPUTATION REVISED,IMPUTED INCOME,Imputada,100.0,Predictor principal
